No.,カテゴリ,問い合わせ（患者）,〇（正解）,△（惜しい）,△（惜しい）,×（不正解）
1,営業時間,木曜日の午後に診察に行きたいのですが。,木曜日は休診日となります。,木曜の午後は16:00から開始です。,木曜の午後は16:00から開始です。,木曜の午後は手術のみの対応です。
2,営業時間,火曜日の17時に受診できますか？,火曜日は午前診療のみとなっております。,火曜日は終日休診しております。,火曜日は18:30まで診療しております。,火曜日は予約の方のみ対応可能です。
3,営業時間,土曜日の夕方に診てもらえますか？,土曜日は午前のみの診療となります。,土曜日は17:00まで受付しております。,土曜の午後は完全予約制です。,土曜日は第2・第4のみ午後も診療します。
4,営業時間,今日の午前中の予約受付は何時までですか？,午前の予約受付は11:30までです。,午前の予約受付は12:00までです。,午前の予約受付は11:45までです。,午前の予約受付は11:00までです。
5,営業時間,祝日は診療していますか？,日曜・祝日は休診日となります。,祝日は午前のみ診療しております。,祝日も通常通り診療しております。,祝日は予約診療のみ対応します。
6,待ち時間,受付番号12番です。どれくらい待ちますか？,目安として2時間ほどお待ちいただきます。,目安として1時間ほどお待ちいただきます。,目安として30分ほどお待ちいただきます。,順番が来るまで院内でお待ちください。
7,待ち時間,受付番号25番です。待ち時間はどのくらいですか？,3時間以上お待ちいただく目安です。,2時間ほどお待ちいただく目安です。,1時間半ほどお待ちいただく目安です。,4時間以上お待ちいただく目安です。
8,待ち時間,受付番号35番です。まだまだかかりますか？,4時間以上お待ちいただくことになります。,3時間ほどお待ちいただくことになります。,2時間半ほどお待ちいただくことになります。,午後一番でのご案内になる予定です。
9,待ち時間,待ち時間が長いので外出してもいいですか？,外出カードをお渡ししますので受付にお越しください。,お名前を書いて外出してください。,外出時はお電話でご連絡ください。,外出はご遠慮いただいております。
10,待ち時間,待ち時間は正確ですか？,長めの目安をお伝えするようにしています。,システム計算なので正確な時間です。,診察状況によるので全く分かりません。,実際は表示より早くご案内できます。
11,検尿判断,排尿時に痛みがあります。これから受診します。,検尿がありますので尿を溜めてお越しください。,検尿はありませんのでトイレは自由です。,痛みがある場合は採血のみ行います。,受付でコップをお渡しするか決めます。
12,検尿判断,性病の検査を希望しています。,検尿を行いますので準備してご来院ください。,性病検査は血液検査のみ行います。,性病検査は問診のみで判断します。,症状がなければ検尿は行いません。
13,検尿判断,ED（勃起不全）の相談で伺います。,EDのご相談の場合、検尿は不要です。,初診の方は必ず検尿をお願いします。,ホルモン値を見るため検尿が必要です。,念のため少しだけ採尿をお願いします。
14,検尿判断,陰部がかゆいだけなんですが。,皮膚トラブルのみなら検尿は行いません。,かゆみの原因を調べるため検尿します。,感染症確認のため検尿が必要です。,診察前に必ず採尿をお願いします。
15,検尿判断,腰が痛くて、尿路結石かもしれません。,結石の疑いがある場合は検尿を行います。,結石かどうかはレントゲンで判断します。,痛みが強い場合は検尿を省略します。,まずは整形外科を受診してください。
16,検尿判断,精液に血が混じったのですが…,その症状の場合は検尿を行います。,精液検査のみ行いますので検尿は不要です。,出血がある場合は検尿できません。,まずは触診のみ行います。
17,検尿判断,カテーテルを抜いた後の確認で伺います。,確認の際は検尿を行います。,抜去後の確認時は検尿不要です。,残尿測定のみ行います。,異常がなければ診察のみです。
18,注射・処置,テスチノンの注射だけお願いできますか？,注射のみのご案内が可能です。,注射の前に必ず診察が必要です。,看護師の問診後に判断します。,注射のみの予約はお取りできません。
19,注射・処置,前立腺癌の注射（リュープリン）をお願いします。,その注射は必ず診察が必要です。,注射のみのご案内が可能です。,予約があれば注射のみ可能です。,お薬手帳があれば診察不要です。
20,注射・処置,ゴナックスの注射をお願いします。,必ず診察が必要な注射となります。,処置室へ直接ご案内できます。,前回と同じ量なら診察不要です。,その注射は現在取り扱っていません。
21,検査結果,当院で受けた血液検査の結果を聞きたいのですが。,検査結果のみでのご案内となります。,結果説明のため診察が必要です。,お電話で結果をお伝え可能です。,結果は郵送でお送りします。
22,検査結果,他院で撮ったMRIの結果を聞きに行きます。,他院検査の結果は必ず診察が必要です。,結果のお渡しのみで対応可能です。,受付で医師から伝言を伝えます。,看護師から結果を説明します。
23,検査結果,生検の結果を聞きに行きます。,結果を聞く際に検尿をお願いしています。,結果を聞くだけなら検尿不要です。,生検後は採血を行います。,検尿するかは医師が判断します。
24,紹介状,紹介状の予約日時は、何時に行けばいいですか？,予約時間の30分前にお越しください。,予約時間の15分前にお越しください。,予約時間ちょうどにお越しください。,予約時間の1時間前にお越しください。
25,紹介状,紹介状を後で取りに行きます。会計は？,会計は不要ですので直接お渡しします。,文書料の会計が必要となります。,再診料がかかる場合があります。,会計窓口で番号札をお取りください。
26,予約,経過観察の予約を10:15に取りたいのですが。,予約枠は00分か30分でお願いしています。,15分枠で予約をお取りします。,空いていれば何分でも可能です。,経過観察は予約制ではありません。
27,予約,夫婦で経過観察の予約を取りたいです。,00分と10分で連続して予約可能です。,同じ枠で2名様分の予約を取ります。,別々の時間帯での予約となります。,ご夫婦でも30分ずつ時間を空けます。
28,予約,バルーン交換の予約時期はいつ頃ですか？,基本的に4週間後に予約をお取りします。,基本的に2週間後に予約をお取りします。,交換が必要と感じた時に予約してください。,基本的に8週間後に予約をお取りします。
29,予約,バルーン交換は1時間に何人予約できますか？,1時間に1名様までとなります。,1時間に2名様までとなります。,1時間に3名様までとなります。,人数制限はありません。
30,予約,癌の治療中ですが、次回の予約は？,会計時に次回の予約を必ずお取りします。,ご自身の都合に合わせてネット予約してください。,お電話で後日予約をお願いします。,当日順番予約をご利用ください。
31,ワクチン,インフルエンザの予防接種は予約が必要ですか？,インフルエンザは予約不要です。,インフルエンザは完全予約制です。,当日の朝にお電話で予約してください。,Web予約のみ受け付けております。
32,ワクチン,コロナワクチンの接種は予約が必要ですか？,コロナワクチンは予約が必要です。,コロナワクチンは予約不要です。,当日在庫があれば接種可能です。,接種券があれば予約は不要です。
33,ワクチン,ワクチン接種は保険適用ですか？,ワクチンは自費診療となります。,高齢者の方は保険適用となります。,診察とセットなら保険適用です。,お薬手帳をお持ちなら保険適用です。
34,ワクチン,ワクチンの接種票はどうすればいいですか？,ご自宅で保管をお願いしています。,カルテに挟んで保管します。,次回の受診時に回収します。,役所へ郵送してください。
35,事務・会計,マイナンバーカードは使えますか？,マイナンバーカードで認証可能です。,従来の保険証のみ対応しています。,現在は機器調整中で使えません。,マイナンバーカードはお預かりします。
36,事務・会計,クレジットカードは使えますか？,クレジット表記があれば利用可能です。,現金のみの取り扱いとなります。,電子マネーのみ対応しています。,自費診療のみカード利用可能です。
37,事務・会計,初診ですが血圧測定は必要ですか？,初診時の血圧測定は行っていません。,初診時は必ず測定をお願いします。,血圧手帳をお持ちなら測定不要です。,待合室で測定してお待ちください。
38,事務・会計,2回目の受診です。血圧測定は？,メモに生活習慣問診があれば測定します。,再診の方は毎回測定が必要です。,自己判断にお任せしています。,看護師が測定しますのでお待ちください。
39,事務・会計,以前の診察券がありますが使えますか？,新規発行せず以前のものを再利用します。,新しい診察券を発行いたします。,古い診察券は破棄してください。,番号が変わるので新規登録となります。
40,事務・会計,保険証が新しく変わりました。,新しい保険証情報を登録いたします。,次回ご来院時に確認します。,診察室で医師にお見せください。,月が変わるまで変更できません。
41,その他,陰部をぶつけてしまいました。,その場合も検尿をお願いしています。,打撲の場合は検尿不要です。,出血がなければ検尿不要です。,外科的な処置のみ行います。
42,その他,頻尿の症状があります。,検尿を行いますので準備をお願いします。,問診のみで診断します。,残尿エコーのみ行います。,まずは水分摂取記録をつけます。
43,その他,血尿が出ているようです。,血尿の方は必ず検尿を行います。,目視で確認するため検尿は不要です。,血が止まってから検尿します。,まずは止血剤を処方します。
44,その他,性病の検査結果を電話で聞けますか？,結果は来院して聞いていただきます。,ご本人様なら電話でお伝えします。,ID番号が分かればお伝えします。,陽性の場合のみ電話連絡します。
45,その他,検査結果はいつ頃わかりますか？,基本的には1週間後となります。,3日後には結果が出ます。,翌日午後には結果が出ます。,お電話で確認してください。
46,その他,子供にお菓子をあげてもいいですか？,会計時にラムネ等をお渡ししています。,院内での飲食は禁止です。,待合室ではご遠慮ください。,アレルギー確認後に許可します。
47,その他,Web問診はありますか？,Web問診または手書きで記入可能です。,問診は全て手書きのみです。,受付での口頭確認のみです。,初診のみWeb問診必須です。
48,その他,男性更年期障害の相談です。,その症状での検尿は不要です。,ホルモン値測定のため検尿が必要です。,初診セットとして検尿が必要です。,年齢に関わらず全員検尿します。
49,その他,会計はまだですか？,会計を最優先で処理しております。,診察優先のためお待ちください。,カルテ作成順にお呼びしています。,計算センターの処理待ちです。
50,その他,検尿が必要か迷うのですが。,迷った場合は検尿をお願いしています。,迷う場合は医師に確認します。,迷う場合は検尿不要とします。,ご自身の判断にお任せします。
